time,signal
16640,183.005
16650,182.702
16660,182.285
16670,182.815
16680,182.727
16690,182.517
16700,182.728
16710,181.816
16720,181.92
16730,183.052
16740,182.737
16750,182.534
16760,182.227
16770,181.62
16780,181.603
16790,181.579
16800,181.512
16810,181.671
16820,182.103
16830,181.5
16840,181.011
16850,180.915
16860,180.86
16870,180.189
16880,179.949
16890,179.24
16900,178.943
16910,178.196
16920,177.42
16930,178.203
16940,177.139
16950,177.07
16960,176.072
16970,176.116
16980,175.617
16990,175.13
17000,174.796
17010,174.439
17020,174.392
17030,174.074
17040,173.573
17050,174.022
17060,173.576
17070,173.007
17080,172.782
17090,172.68
17100,171.937
17110,172.6
17120,172.356
17130,171.786
17140,171.756
17150,171.724
17160,171.486
17170,171.073
17180,171.464
17190,170.717
17200,170.906
17210,170.86
17220,170.584
17230,170.589
17240,170.366
17250,170.253
17260,170.839
17270,170.024
17280,169.625
17290,169.315
17300,169.675
17310,169.164
17320,169.857
17330,170.033
17340,169.874
17350,169.304
17360,169.31
17370,169.463
17380,169.506
17390,169.417
17400,169.099
17410,169.015
17420,169.264
17430,168.896
17440,168.56
17450,169.183
17460,168.565
17470,168.943
17480,168.682
17490,169.064
17500,168.27
17510,168.929
17520,168.625
17530,168.638
17540,168.684
17550,168.549
17560,168.248
17570,168.166
17580,168.295
17590,167.66
17600,168.464
17610,168.298
17620,168.121
17630,168.497
17640,167.907
17650,168.335
17660,168.315
17670,168.322
17680,167.945
17690,168.521
17700,168.817
17710,168.453
17720,168.66
17730,168.648
17740,169.534
17750,168.919
17760,169.45
17770,168.759
17780,169.575
17790,169.227
17800,169.806
17810,169.968
17820,169.536
17830,169.163
17840,169.077
17850,168.849
17860,169.343
17870,169.583
17880,169.108
17890,168.488
17900,168.974
17910,168.942
17920,168.861
17930,168.392
17940,169.036
17950,168.372
17960,168.797
17970,168.06
17980,168.587
17990,168.396
18000,168.774
18010,168.614
18020,168.864
18030,168.308
18040,168.106
18050,168.438
18060,168.659
18070,168.399
18080,169.291
18090,168.359
18100,168.768
18110,168.49
18120,168.72
18130,168.572
18140,169.015
18150,168.55
18160,168.846
18170,168.521
18180,169.335
18190,169.115
18200,168.78
18210,169.269
18220,169.073
18230,168.989
18240,169.012
18250,169.07
18260,168.944
18270,169.248
18280,169.166
18290,169.325
18300,168.362
18310,168.755
18320,169.179
18330,168.509
18340,168.993
18350,168.899
18360,168.926
18370,168.819
18380,168.585
18390,168.563
18400,168.259
18410,168.668
18420,169.471
18430,168.294
18440,168.459
18450,169.008
18460,168.963
18470,168.201
18480,168.571
18490,168.289
18500,168.404
18510,168.407
18520,168.435
18530,168.284
18540,168.069
18550,168.674
18560,168.582
18570,168.182
18580,168.212
18590,168.148
18600,168.384
18610,168.2
18620,168.473
18630,168.641
18640,167.906
18650,168.508
18660,167.977
18670,167.994
18680,167.55
18690,168.621
18700,168.152
18710,168.2
18720,168.728
18730,169.14
18740,168.333
18750,168.939
18760,168.261
18770,168.197
18780,168.051
18790,168.28
18800,168.466
18810,168.246
18820,167.917
18830,168.783
18840,168.301
18850,168.369
18860,168.285
18870,168.202
18880,168.112
18890,168.23
18900,168.131
18910,168.221
